ID1,ID2
rec-1022-org,rec-1022-dup-0
rec-610-org,rec-610-dup-0
rec-1060-dup-0,rec-1060-org
rec-304-org,rec-304-dup-0
rec-790-dup-0,rec-790-org
rec-1730-dup-0,rec-1730-org
rec-2779-dup-0,rec-2779-org
rec-3768-org,rec-3768-dup-0
rec-2769-dup-0,rec-2769-org
rec-2542-dup-0,rec-2542-org
rec-2708-org,rec-2708-dup-0
rec-3771-org,rec-3771-dup-0
rec-1071-dup-0,rec-1071-org
rec-922-org,rec-922-dup-0
rec-759-dup-0,rec-759-org
rec-500-dup-0,rec-500-org
rec-921-org,rec-921-dup-0
rec-1467-org,rec-1467-dup-0
rec-260-org,rec-260-dup-0
rec-519-org,rec-519-dup-0
rec-433-org,rec-433-dup-0
rec-3669-dup-0,rec-3669-org
rec-3225-dup-0,rec-3225-org
rec-3210-org,rec-3210-dup-0
rec-719-dup-0,rec-719-org
rec-2948-dup-0,rec-2948-org
rec-1052-dup-0,rec-1052-org
rec-3375-org,rec-3375-dup-0
rec-3880-dup-0,rec-3880-org
rec-2825-org,rec-2825-dup-0
rec-3356-dup-0,rec-3356-org
rec-825-org,rec-825-dup-0
rec-1519-dup-0,rec-1519-org
rec-1229-dup-0,rec-1229-org
rec-3699-org,rec-3699-dup-0
rec-1362-dup-0,rec-1362-org
rec-2906-org,rec-2906-dup-0
rec-2977-org,rec-2977-dup-0
rec-68-org,rec-68-dup-0
rec-184-dup-0,rec-184-org
rec-2087-org,rec-2087-dup-0
rec-3478-org,rec-3478-dup-0
rec-65-org,rec-65-dup-0
rec-1585-org,rec-1585-dup-0
rec-1283-dup-0,rec-1283-org
rec-3516-org,rec-3516-dup-0
rec-2488-dup-0,rec-2488-org
rec-868-dup-0,rec-868-org
rec-1327-dup-0,rec-1327-org
rec-2236-dup-0,rec-2236-org
rec-2678-org,rec-2678-dup-0
rec-1811-org,rec-1811-dup-0
rec-2785-org,rec-2785-dup-0
rec-3773-org,rec-3773-dup-0
rec-329-dup-0,rec-329-org
rec-2878-org,rec-2878-dup-0
rec-2151-dup-0,rec-2151-org
rec-3127-dup-0,rec-3127-org
rec-282-org,rec-282-dup-0
rec-2726-dup-0,rec-2726-org
rec-426-org,rec-426-dup-0
rec-128-org,rec-128-dup-0
rec-613-org,rec-613-dup-0
rec-2780-dup-0,rec-2780-org
rec-2211-dup-0,rec-2211-org
rec-3618-org,rec-3618-dup-0
rec-3032-org,rec-3032-dup-0
rec-878-org,rec-878-dup-0
rec-3044-org,rec-3044-dup-0
rec-2044-org,rec-2044-dup-0
rec-3648-dup-0,rec-3648-org
rec-3551-org,rec-3551-dup-0
rec-3925-org,rec-3925-dup-0
rec-3668-org,rec-3668-dup-0
rec-3586-org,rec-3586-dup-0
rec-1651-dup-0,rec-1651-org
rec-1792-dup-0,rec-1792-org
rec-2792-dup-0,rec-2792-org
rec-2332-dup-0,rec-2332-org
rec-3712-org,rec-3712-dup-0
rec-3941-dup-0,rec-3941-org
rec-2747-org,rec-2747-dup-0
rec-2490-dup-0,rec-2490-org
rec-2852-dup-0,rec-2852-org
rec-3168-org,rec-3168-dup-0
rec-2900-org,rec-2900-dup-0
rec-1597-org,rec-1597-dup-0
rec-880-org,rec-880-dup-0
rec-1213-org,rec-1213-dup-0
rec-1922-dup-0,rec-1922-org
rec-173-dup-0,rec-173-org
rec-1652-org,rec-1652-dup-0
rec-408-org,rec-408-dup-0
rec-3857-dup-0,rec-3857-org
rec-1099-org,rec-1099-dup-0
rec-1135-org,rec-1135-dup-0
rec-1579-org,rec-1579-dup-0
rec-1358-dup-0,rec-1358-org
rec-925-dup-0,rec-925-org
rec-2097-org,rec-2097-dup-0
rec-2237-dup-0,rec-2237-org
rec-2509-org,rec-2509-dup-0
rec-3084-dup-0,rec-3084-org
rec-721-org,rec-721-dup-0
rec-1770-dup-0,rec-1770-org
rec-933-dup-0,rec-933-org
rec-954-org,rec-954-dup-0
rec-3454-dup-0,rec-3454-org
rec-2103-dup-0,rec-2103-org
rec-2976-org,rec-2976-dup-0
rec-3747-org,rec-3747-dup-0
rec-2170-org,rec-2170-dup-0
rec-2292-org,rec-2292-dup-0
rec-3914-dup-0,rec-3914-org
rec-3838-org,rec-3838-dup-0
rec-777-org,rec-777-dup-0
rec-2624-dup-0,rec-2624-org
rec-3781-org,rec-3781-dup-0
rec-3653-dup-0,rec-3653-org
rec-2503-org,rec-2503-dup-0
rec-3630-org,rec-3630-dup-0
rec-2532-dup-0,rec-2532-org
rec-3488-dup-0,rec-3488-org
rec-1083-dup-0,rec-1083-org
rec-43-dup-0,rec-43-org
rec-1606-org,rec-1606-dup-0
rec-955-dup-0,rec-955-org
rec-1794-org,rec-1794-dup-0
rec-3797-org,rec-3797-dup-0
rec-971-org,rec-971-dup-0
rec-3426-dup-0,rec-3426-org
rec-653-dup-0,rec-653-org
rec-585-org,rec-585-dup-0
rec-2085-org,rec-2085-dup-0
rec-262-org,rec-262-dup-0
rec-3775-dup-0,rec-3775-org
rec-2316-org,rec-2316-dup-0
rec-1817-dup-0,rec-1817-org
rec-1931-dup-0,rec-1931-org
rec-3042-dup-0,rec-3042-org
rec-2107-dup-0,rec-2107-org
rec-3931-dup-0,rec-3931-org
rec-968-org,rec-968-dup-0
rec-1383-org,rec-1383-dup-0
rec-2299-dup-0,rec-2299-org
rec-3391-org,rec-3391-dup-0
rec-3216-dup-0,rec-3216-org
rec-164-org,rec-164-dup-0
rec-1718-dup-0,rec-1718-org
rec-2115-org,rec-2115-dup-0
rec-1219-org,rec-1219-dup-0
rec-442-dup-0,rec-442-org
rec-642-dup-0,rec-642-org
rec-2207-dup-0,rec-2207-org
rec-11-org,rec-11-dup-0
rec-2247-org,rec-2247-dup-0
rec-936-dup-0,rec-936-org
rec-1916-org,rec-1916-dup-0
rec-1788-dup-0,rec-1788-org
rec-1331-org,rec-1331-dup-0
rec-290-org,rec-290-dup-0
rec-2924-dup-0,rec-2924-org
rec-3578-org,rec-3578-dup-0
rec-643-dup-0,rec-643-org
rec-1237-dup-0,rec-1237-org
rec-1793-org,rec-1793-dup-0
rec-2362-dup-0,rec-2362-org
rec-2216-dup-0,rec-2216-org
rec-3929-org,rec-3929-dup-0
rec-3908-dup-0,rec-3908-org
rec-438-dup-0,rec-438-org
rec-1374-org,rec-1374-dup-0
rec-3066-org,rec-3066-dup-0
rec-2573-org,rec-2573-dup-0
rec-1677-dup-0,rec-1677-org
rec-3094-org,rec-3094-dup-0
rec-2359-org,rec-2359-dup-0
rec-1843-org,rec-1843-dup-0
rec-1764-org,rec-1764-dup-0
rec-3277-org,rec-3277-dup-0
rec-2284-dup-0,rec-2284-org
rec-3650-org,rec-3650-dup-0
rec-1110-dup-0,rec-1110-org
rec-2043-dup-0,rec-2043-org
rec-1807-org,rec-1807-dup-0
rec-1045-org,rec-1045-dup-0
rec-1841-dup-0,rec-1841-org
rec-2253-dup-0,rec-2253-org
rec-474-dup-0,rec-474-org
rec-2361-org,rec-2361-dup-0
rec-3691-dup-0,rec-3691-org
rec-3871-org,rec-3871-dup-0
rec-935-org,rec-935-dup-0
rec-2243-dup-0,rec-2243-org
rec-2240-org,rec-2240-dup-0
rec-1984-org,rec-1984-dup-0
rec-1646-org,rec-1646-dup-0
rec-2973-org,rec-2973-dup-0
rec-1298-org,rec-1298-dup-0
rec-518-org,rec-518-dup-0
rec-261-org,rec-261-dup-0
rec-1328-dup-0,rec-1328-org
rec-882-dup-0,rec-882-org
rec-470-dup-0,rec-470-org
rec-665-org,rec-665-dup-0
rec-741-org,rec-741-dup-0
rec-2106-org,rec-2106-dup-0
rec-498-org,rec-498-dup-0
rec-2560-org,rec-2560-dup-0
rec-2919-org,rec-2919-dup-0
rec-393-org,rec-393-dup-0
rec-2979-org,rec-2979-dup-0
rec-611-dup-0,rec-611-org
rec-435-dup-0,rec-435-org
rec-2578-org,rec-2578-dup-0
rec-2042-org,rec-2042-dup-0
rec-2506-org,rec-2506-dup-0
rec-3924-dup-0,rec-3924-org
rec-2629-org,rec-2629-dup-0
rec-2007-dup-0,rec-2007-org
rec-1275-org,rec-1275-dup-0
rec-0-dup-0,rec-0-org
rec-1300-dup-0,rec-1300-org
rec-3219-dup-0,rec-3219-org
rec-1553-dup-0,rec-1553-org
rec-2193-dup-0,rec-2193-org
rec-3979-dup-0,rec-3979-org
rec-1228-org,rec-1228-dup-0
rec-1689-dup-0,rec-1689-org
rec-3560-dup-0,rec-3560-org
rec-1508-org,rec-1508-dup-0
rec-2587-dup-0,rec-2587-org
rec-2138-org,rec-2138-dup-0
rec-940-dup-0,rec-940-org
rec-2100-org,rec-2100-dup-0
rec-2366-org,rec-2366-dup-0
rec-1286-dup-0,rec-1286-org
rec-2046-org,rec-2046-dup-0
rec-2646-dup-0,rec-2646-org
rec-1459-dup-0,rec-1459-org
rec-1095-dup-0,rec-1095-org
rec-2224-dup-0,rec-2224-org
rec-1443-dup-0,rec-1443-org
rec-1960-dup-0,rec-1960-org
rec-1759-dup-0,rec-1759-org
rec-1942-dup-0,rec-1942-org
rec-335-org,rec-335-dup-0
rec-3936-org,rec-3936-dup-0
rec-2456-org,rec-2456-dup-0
rec-410-org,rec-410-dup-0
rec-3273-dup-0,rec-3273-org
rec-905-dup-0,rec-905-org
rec-1262-org,rec-1262-dup-0
rec-2068-org,rec-2068-dup-0
rec-1635-org,rec-1635-dup-0
rec-516-dup-0,rec-516-org
rec-2210-dup-0,rec-2210-org
rec-1401-dup-0,rec-1401-org
rec-198-org,rec-198-dup-0
rec-2276-org,rec-2276-dup-0
rec-2233-org,rec-2233-dup-0
rec-1347-org,rec-1347-dup-0
rec-1165-dup-0,rec-1165-org
rec-1396-org,rec-1396-dup-0
rec-2443-dup-0,rec-2443-org
rec-2907-org,rec-2907-dup-0
rec-3152-dup-0,rec-3152-org
rec-2718-org,rec-2718-dup-0
rec-3587-org,rec-3587-dup-0
rec-2541-org,rec-2541-dup-0
rec-1168-dup-0,rec-1168-org
rec-3049-dup-0,rec-3049-org
rec-3442-dup-0,rec-3442-org
rec-3045-dup-0,rec-3045-org
rec-707-dup-0,rec-707-org
rec-1291-org,rec-1291-dup-0
rec-2610-org,rec-2610-dup-0
rec-2168-org,rec-2168-dup-0
rec-2565-dup-0,rec-2565-org
rec-2715-org,rec-2715-dup-0
rec-3234-org,rec-3234-dup-0
rec-2319-dup-0,rec-2319-org
rec-2760-org,rec-2760-dup-0
rec-193-org,rec-193-dup-0
rec-1350-org,rec-1350-dup-0
rec-1309-org,rec-1309-dup-0
rec-2705-dup-0,rec-2705-org
rec-514-org,rec-514-dup-0
rec-1093-org,rec-1093-dup-0
rec-616-dup-0,rec-616-org
rec-1411-dup-0,rec-1411-org
rec-1116-org,rec-1116-dup-0
rec-2056-dup-0,rec-2056-org
rec-3951-org,rec-3951-dup-0
rec-2667-org,rec-2667-dup-0
rec-2580-org,rec-2580-dup-0
rec-3117-org,rec-3117-dup-0
rec-114-org,rec-114-dup-0
rec-3239-dup-0,rec-3239-org
rec-1690-org,rec-1690-dup-0
rec-2756-dup-0,rec-2756-org
rec-3331-dup-0,rec-3331-org
rec-2178-dup-0,rec-2178-org
rec-984-org,rec-984-dup-0
rec-3790-org,rec-3790-dup-0
rec-2851-org,rec-2851-dup-0
rec-1709-dup-0,rec-1709-org
rec-1171-dup-0,rec-1171-org
rec-1235-org,rec-1235-dup-0
rec-1845-org,rec-1845-dup-0
rec-3055-dup-0,rec-3055-org
rec-3614-dup-0,rec-3614-org
rec-1074-dup-0,rec-1074-org
rec-3582-org,rec-3582-dup-0
rec-3111-dup-0,rec-3111-org
rec-1934-dup-0,rec-1934-org
rec-2561-dup-0,rec-2561-org
rec-3581-dup-0,rec-3581-org
rec-580-org,rec-580-dup-0
rec-1621-org,rec-1621-dup-0
rec-2697-dup-0,rec-2697-org
rec-2675-org,rec-2675-dup-0
rec-2867-org,rec-2867-dup-0
rec-3966-org,rec-3966-dup-0
rec-2371-dup-0,rec-2371-org
rec-2791-dup-0,rec-2791-org
rec-3722-org,rec-3722-dup-0
rec-2772-org,rec-2772-dup-0
rec-1172-dup-0,rec-1172-org
rec-2987-dup-0,rec-2987-org
rec-1824-dup-0,rec-1824-org
rec-1118-dup-0,rec-1118-org
rec-1962-org,rec-1962-dup-0
rec-540-org,rec-540-dup-0
rec-877-org,rec-877-dup-0
rec-2229-org,rec-2229-dup-0
rec-930-dup-0,rec-930-org
rec-2408-dup-0,rec-2408-org
rec-3506-dup-0,rec-3506-org
rec-2030-org,rec-2030-dup-0
rec-1982-dup-0,rec-1982-org
rec-3665-org,rec-3665-dup-0
rec-3157-dup-0,rec-3157-org
rec-37-org,rec-37-dup-0
rec-26-org,rec-26-dup-0
rec-1599-org,rec-1599-dup-0
rec-2104-dup-0,rec-2104-org
rec-2070-org,rec-2070-dup-0
rec-712-dup-0,rec-712-org
rec-2660-org,rec-2660-dup-0
rec-1970-org,rec-1970-dup-0
rec-1832-org,rec-1832-dup-0
rec-3177-org,rec-3177-dup-0
rec-1550-dup-0,rec-1550-org
rec-1633-org,rec-1633-dup-0
rec-2843-dup-0,rec-2843-org
rec-1293-org,rec-1293-dup-0
rec-1375-dup-0,rec-1375-org
rec-2435-dup-0,rec-2435-org
rec-1145-org,rec-1145-dup-0
rec-2342-org,rec-2342-dup-0
rec-2159-org,rec-2159-dup-0
rec-2420-org,rec-2420-dup-0
rec-2665-dup-0,rec-2665-org
rec-1542-dup-0,rec-1542-org
rec-3114-org,rec-3114-dup-0
rec-3371-org,rec-3371-dup-0
rec-2474-dup-0,rec-2474-org
rec-701-dup-0,rec-701-org
rec-3584-dup-0,rec-3584-org
rec-3511-org,rec-3511-dup-0
rec-591-org,rec-591-dup-0
rec-1067-dup-0,rec-1067-org
rec-838-dup-0,rec-838-org
rec-2710-dup-0,rec-2710-org
rec-1453-dup-0,rec-1453-org
rec-2682-dup-0,rec-2682-org
rec-42-org,rec-42-dup-0
rec-997-dup-0,rec-997-org
rec-501-dup-0,rec-501-org
rec-1697-org,rec-1697-dup-0
rec-2088-dup-0,rec-2088-org
rec-3509-org,rec-3509-dup-0
rec-29-org,rec-29-dup-0
rec-3542-org,rec-3542-dup-0
rec-1250-org,rec-1250-dup-0
rec-2735-dup-0,rec-2735-org
rec-3208-org,rec-3208-dup-0
rec-3368-dup-0,rec-3368-org
rec-3998-dup-0,rec-3998-org
rec-506-org,rec-506-dup-0
rec-3320-dup-0,rec-3320-org
rec-3878-dup-0,rec-3878-org
rec-3416-org,rec-3416-dup-0
rec-622-org,rec-622-dup-0
rec-424-org,rec-424-dup-0
rec-1645-org,rec-1645-dup-0
rec-346-org,rec-346-dup-0
rec-122-org,rec-122-dup-0
rec-1217-org,rec-1217-dup-0
rec-3412-dup-0,rec-3412-org
rec-3554-dup-0,rec-3554-org
rec-2067-org,rec-2067-dup-0
rec-356-org,rec-356-dup-0
rec-3405-org,rec-3405-dup-0
rec-2008-org,rec-2008-dup-0
rec-3299-org,rec-3299-dup-0
rec-2860-dup-0,rec-2860-org
rec-1364-dup-0,rec-1364-org
rec-288-dup-0,rec-288-org
rec-1371-dup-0,rec-1371-org
rec-1068-dup-0,rec-1068-org
rec-2942-dup-0,rec-2942-org
rec-2925-dup-0,rec-2925-org
rec-414-org,rec-414-dup-0
rec-189-org,rec-189-dup-0
rec-1500-org,rec-1500-dup-0
rec-1028-org,rec-1028-dup-0
rec-807-org,rec-807-dup-0
rec-667-dup-0,rec-667-org
rec-502-dup-0,rec-502-org
rec-1441-org,rec-1441-dup-0
rec-3508-org,rec-3508-dup-0
rec-1026-dup-0,rec-1026-org
rec-2124-org,rec-2124-dup-0
rec-857-dup-0,rec-857-org
rec-2740-dup-0,rec-2740-org
rec-1541-org,rec-1541-dup-0
rec-3349-org,rec-3349-dup-0
rec-3827-org,rec-3827-dup-0
rec-3465-dup-0,rec-3465-org
rec-86-dup-0,rec-86-org
rec-682-dup-0,rec-682-org
rec-1416-org,rec-1416-dup-0
rec-3075-dup-0,rec-3075-org
rec-958-dup-0,rec-958-org
rec-2063-org,rec-2063-dup-0
rec-2357-org,rec-2357-dup-0
rec-2073-org,rec-2073-dup-0
rec-2522-org,rec-2522-dup-0
rec-2931-org,rec-2931-dup-0
rec-1894-dup-0,rec-1894-org
rec-3153-org,rec-3153-dup-0
rec-92-dup-0,rec-92-org
rec-607-org,rec-607-dup-0
rec-3180-org,rec-3180-dup-0
rec-710-org,rec-710-dup-0
rec-3902-dup-0,rec-3902-org
rec-2265-dup-0,rec-2265-org
rec-909-org,rec-909-dup-0
rec-575-dup-0,rec-575-org
rec-900-dup-0,rec-900-org
rec-827-dup-0,rec-827-org
